bearAmount,bullAmount,closePrice,epoch,failed,id,lockPrice,position,totalAmount
1.824624978022866034,1.460879674853387171,498.84115,308194,False,308194,498.9224,Bear,3.285504652876253205
1.293970939656937798,1.266538142325675795,498.9224,308193,False,308193,497.9109,Bull,2.560509081982613593
0.72966020650369596,0.875233962591378115,497.9109,308192,False,308192,497.47184,Bull,1.604894169095074075
2.3537145530246195,2.024164979221914929,497.47184,308191,False,308191,497.58939018,Bear,4.377879532246534429
0.762936146080011025,0.878511196385090265,497.58939018,308190,False,308190,499.09621937,Bear,1.64144734246510129
1.364848656579208799,1.948870620317543508,499.09621937,308189,False,308189,498.087095,Bull,3.313719276896752307
1.471094775215618651,1.545563806839602575,498.087095,308188,False,308188,496.98219986,Bull,3.016658582055221226
1.6620119156259956,1.289001748266044582,496.98219986,308187,False,308187,496.45102,Bull,2.951013663892040182
0.912119955256906604,1.149274868202526882,496.45102,308186,False,308186,496.11317,Bull,2.061394823459433486
1.125503754361502187,0.887622890678369811,496.11317,308185,False,308185,496.08291,Bull,2.013126645039871998
1.454473530860786377,1.416891346381066664,496.08291,308184,False,308184,495.77826,Bull,2.871364877241853041
0.995529441522184738,1.594500101740535012,495.77826,308183,False,308183,495.09999999,Bull,2.59002954326271975
1.062305638151708391,1.150170748552890946,495.09999999,308182,False,308182,495.25234921,Bear,2.212476386704599337
1.931937492346384185,1.827645915408527031,495.25234921,308181,False,308181,495.5884,Bear,3.759583407754911216
1.122560025805357046,1.841702790187994882,495.5884,308180,False,308180,495.03948,Bull,2.964262815993351928
1.241575989059764063,1.457990738665252688,495.03948,308179,False,308179,495.6245,Bear,2.699566727725016751
0.98940376348999566,0.535800346348756827,495.6245,308178,False,308178,495.5009,Bull,1.525204109838752487
2.821569300914494575,2.458149894480699381,495.5009,308177,False,308177,495.79709831,Bear,5.279719195395193956
2.313557556316394132,2.421086283043957325,495.79709831,308176,False,308176,495.05799,Bull,4.734643839360351457
2.647768084364489138,1.706487940042988679,495.05799,308175,False,308175,495.301,Bear,4.354256024407477817
2.023132671181123673,1.769990942996146299,495.301,308174,False,308174,495.4573,Bear,3.793123614177269972
1.938609004130635817,1.764128609480118045,495.4573,308173,False,308173,496.008,Bear,3.702737613610753862
1.73439777628638304,1.703836609042337795,496.008,308172,False,308172,495.95174,Bull,3.438234385328720835
1.208183500571048807,1.39117893902943718,495.95174,308171,False,308171,495.6314,Bull,2.599362439600485987
1.164037641177031705,1.414845393002262155,495.6314,308170,False,308170,495.75218264,Bear,2.57888303417929386
0.92354981642040167,1.522947338629026988,495.75218264,308169,False,308169,495.7352814,Bull,2.446497155049428658
1.231707566886730646,2.226925637170414217,495.7352814,308168,False,308168,495.6421375,Bull,3.458633204057144863
2.187209238627711567,2.073010010671495941,495.6421375,308167,False,308167,496.30716947,Bear,4.260219249299207508
0.985608556156871908,0.946759047727173461,496.30716947,308166,False,308166,496.87582,Bear,1.932367603884045369
2.462079593625796121,2.265076892963446236,496.87582,308165,False,308165,496.83555228,Bull,4.727156486589242357
1.536622929870851244,1.568164442027745456,496.83555228,308164,False,308164,496.57,Bull,3.1047873718985967
1.252623921386139127,1.598403903945098821,496.57,308163,False,308163,496.34699238,Bull,2.851027825331237948
2.220222953698805003,2.065647099762566954,496.34699238,308162,False,308162,496.4000579,Bear,4.285870053461371957
1.083508471738593893,1.267126223686840713,496.4000579,308161,False,308161,496.0175,Bull,2.350634695425434606
0.895926983026424258,0.886494462135481119,496.0175,308160,False,308160,496.43059458,Bear,1.782421445161905377
1.675307405749449519,2.051492720780289769,496.43059458,308159,False,308159,496.2876,Bull,3.726800126529739288
2.420532333425116768,2.627177412355115994,496.2876,308158,False,308158,496.372505,Bear,5.047709745780232762
1.477312019832766961,2.17115607382725928,496.372505,308157,False,308157,496.13893,Bull,3.648468093660026241
1.568408313789269954,1.294078488639645792,496.13893,308156,False,308156,496.46339143,Bear,2.862486802428915746
2.079589544691891806,1.782440904183404073,496.46339143,308155,False,308155,496.95527,Bear,3.862030448875295879
0.815357584950189913,0.943505547520153752,496.95527,308154,False,308154,496.99452549,Bear,1.758863132470343665
2.082394738175865933,2.816689875261569754,496.99452549,308153,False,308153,496.9154,Bull,4.899084613437435687
1.62005997617086918,2.553595598406105096,496.9154,308152,False,308152,497.780088,Bear,4.173655574576974276
1.83757912649676617,1.951378209751250133,497.780088,308151,False,308151,497.97823,Bear,3.788957336248016303
1.464632539969275334,1.581292205304784146,497.97823,308150,False,308150,496.85570867,Bull,3.04592474527405948
0.773890148537655849,0.970837413519151717,496.85570867,308149,False,308149,496.990898,Bear,1.744727562056807566
1.472783296423753995,1.558355738238688398,496.990898,308148,False,308148,496.62784,Bull,3.031139034662442393
1.812042458300705173,1.823276043737883654,496.62784,308147,False,308147,496.10662,Bull,3.635318502038588827
1.600406101176636848,1.989301108721292899,496.10662,308146,False,308146,495.746,Bull,3.589707209897929747
1.696157092740031971,1.618416068641539642,495.746,308145,False,308145,495.10441211,Bull,3.314573161381571613
1.966039912772753564,2.803837574295986746,495.10441211,308144,False,308144,495.0137,Bull,4.76987748706874031
1.069551523205720785,1.295775988035614027,495.0137,308143,False,308143,495.179271,Bear,2.365327511241334812
1.056482360062521736,0.830079749534949141,495.179271,308142,False,308142,493.99629841,Bull,1.886562109597470877
1.233417186653865057,1.415779177699599831,493.99629841,308141,False,308141,493.97598,Bull,2.649196364353464888
1.702318236797484236,1.879568222856749858,493.97598,308140,False,308140,493.1162,Bull,3.581886459654234094
